Timestamp,Select your gender:,Please enter your birth year:,Please enter your home town (city).,Please enter your weight (kg),Please enter your height (cm)
3/26/2024 13:03:27,Female,2001,Konya,67,168
3/26/2024 13:03:29,Male,2001,Konya,57,179
3/26/2024 13:03:37,Female,2001,Sivas,58,168
3/26/2024 13:03:41,Male,2001,Niğde,79,180
3/26/2024 13:03:42,Male,2000,Samsun ,67,1.77
3/26/2024 13:03:45,Male,2001,Kayseri,&5,184
3/26/2024 13:03:47,Male,05.11.1999,Kırıkkale,90,169
3/26/2024 13:03:50,Female,2000,Kayseri,48,162
3/26/2024 13:03:51,Male,07/03/2001,Alexandria,86,180
3/26/2024 13:03:54,Female,2001,Kayseri,62,164
3/26/2024 13:03:54,Male,2002,Eskişehir ,71,177
3/26/2024 13:04:00,Male,2001,İstanbul,68,165
3/26/2024 13:04:03,Male,2002,Kayseri,100,184
3/26/2024 13:04:15,Female,2001,Isparta,85,1.6
3/26/2024 13:04:17,Male,2002,Yozgat,80,181
3/26/2024 13:04:18,Male,2001,Istanbul,89,178
3/26/2024 13:04:28,Male,2000,Kahramanmaraş ,90,176
3/26/2024 13:04:29,Female,23.03.2001,Bursa,45,158
3/26/2024 13:04:29,Female,2001,Kayseri,57,168
3/26/2024 13:04:30,Male,2000,Yozgat,90,160
3/26/2024 13:04:37,Male,2002,konya,102,176
3/26/2024 13:04:38,Male,2001,Sivas,68,170
3/26/2024 13:04:42,Male,2000,Gaziantep,74,177
3/26/2024 13:04:46,Male,2001,Kayseri,100,187
3/26/2024 13:04:46,Male,2001,Kilis,98,186
3/26/2024 13:04:49,Male,1999,Kahire ,73,173
3/26/2024 13:05:03,Male,2002,Kayseri,72,180
3/26/2024 13:05:07,Female,1900,Niğde,150,150
3/26/2024 13:05:18,Male,2002,Konya,83,185
3/26/2024 13:08:55,Male,2002,Kayseri ,85,190
3/26/2024 13:09:40,Male,2000,Batman,76,176
3/26/2024 13:10:41,Male,2001,Ankara,73,173
3/26/2024 13:42:48,Female,2002,Bartın ,68,168
3/26/2024 14:40:39,Female,2002,Sivas,50,173
3/26/2024 16:27:59,Male,2002,Gaziantep,68,184
